utt_0000 | U do‘kondan non sotib oldi. | u do‘kondan non sotib oldi.
utt_0017 | «Davaktiv» foydalanish uchun beriladigan har qanday obektlar va yer maydonlari ochiq, shaffof tender asosida sotilishi tarafdoridir», deya agentlik direktorining matbuot kotibi Mo‘min Ibodovning so‘zlarini keltirmoqda Kun.uz muxbiri. | davaktiv foydalanish uchun beriladigan har qanday obektlar va yer maydonlari ochiq, shaffof tender asosida sotilishi tarafdoridir, deya agentlik direktorining matbuot kotibi mo‘min ibodovning so‘zlarini keltirmoqda kun.uz muxbiri.
utt_0018 | Monopoliyaga qarshi kurashish qo‘mitasi «Akfa» universitetiga oid qaror loyihasiga munosabat bildirdi Agentlik «Akfa» universitetiga ajratilishi ko‘zda tutilgan Qibray tumanida joylashgan, Toshkent shahar hokimligiga qarashli “Manzarali bog‘dorchilik va gulchilik” MChJ balansida bo‘lgan 29,48 ga yer maydonini doimiy foydalanishga ajratib berish masalasi bo‘yicha ham munosabat bildirdi. | monopoliyaga qarshi kurashish qo‘mitasi “akfa” universitetiga oid qaror loyihasiga munosabat bildirdi agentlik “akfa” universitetiga ajratilishi ko‘zda tutilgan qibray tumanida joylashgan, toshkent shahar hokimligiga qarashli “manzarali bog‘dorchilik va gulchilik” mchj balansida bo‘lgan yigirma toʻqqiz butun yuzdan qirq sakkiz ga yer maydonini doimiy foydalanishga ajratib berish masalasi bo‘yicha ham munosabat bildirdi.
utt_0019 | Ta'kidlanishicha, mazkur masala “Mas'uliyati cheklangan va qo‘shimcha mas'uliyatli jamiyatlar to‘g‘risida”gi qonunga muvofiq mazkur jamiyatning tegishli boshqaruv organlari tomonidan ko‘rib chiqilishi lozim, ya'ni bog‘ni ko‘chirish uchun MChJning roziligini olish tavsiya etiladi. | taʻkidlanishicha, mazkur masala “masʻuliyati cheklangan va qo‘shimcha masʻuliyatli jamiyatlar to‘g‘risida”gi qonunga muvofiq mazkur jamiyatning tegishli boshqaruv organlari tomonidan ko‘rib chiqilishi lozim, yaʻni bog‘ni ko‘chirish uchun mchjning roziligini olish tavsiya etiladi.
utt_0020 | Ma'lumot uchun, Davlat aktivlarini boshqarish agentligining xususiylashtirish dasturiga muvofiq “Manzarali bog‘dorchilik va gulchilik” MChJ mol-mulki 100 foiz sotuvga qo‘yilishi rejalashtirilgan. | maʻlumot uchun, davlat aktivlarini boshqarish agentligining xususiylashtirish dasturiga muvofiq “manzarali bog‘dorchilik va gulchilik” mchj mol-mulki bir yuz foiz sotuvga qo‘yilishi rejalashtirilgan.
utt_0021 | ikki ming yigirmainchi 2022 yillarida AKT sohasida bir qator yirik loyihalar amalga oshiriladi, deb xabar bermoqda Axborot texnologiyalari va kommunikatsiyalarini rivojlantirish vazirligi. | ikki ming yigirmainchi ikki ming yigirma ikkinchi yillarida akt sohasida bir qator yirik loyihalar amalga oshiriladi, deb xabar bermoqda axborot texnologiyalari va kommunikatsiyalarini rivojlantirish vazirligi.
utt_0022 | ikki ming yigirmainchi 2022 yil mobaynida axborot texnologiyalari va telekommunikatsiyalari sohasidagi loyihalarga 676,8 million dollarga teng investitsiyalarni jalb qilish rejalashtirilgan. | ikki ming yigirmainchi ikki ming yigirma ikkinchi yil mobaynida axborot texnologiyalari va telekommunikatsiyalari sohasidagi loyihalarga olti yuz yetmish olti butun oʻndan sakkiz million dollarga teng investitsiyalarni jalb qilish rejalashtirilgan.
utt_0023 | Ular: 2020 yilda umumiy qiymati 178,7 million dollar, shundan to‘g‘ridan to‘g‘ri xorijiy investitsiyalar 139,2 million dollar, davlat kafolati ostidagi kreditlar - 37,5 million dollar; 2021 yilda umumiy qiymati 241,7 million dollar, shundan to‘g‘ridan to‘g‘ri xorijiy investitsiyalar 171,9 million dollar, davlat kafolati ostidagi kreditlar - 67,7 million dollar. | ular: ikki ming yigirmainchi yilda umumiy qiymati bir yuz yetmish sakkiz butun oʻndan yetti million dollar, shundan to‘g‘ridan to‘g‘ri xorijiy investitsiyalar bir yuz oʻttiz toʻqqiz butun oʻndan ikki million dollar, davlat kafolati ostidagi kreditlar - oʻttiz yetti butun oʻndan besh million dollar; ikki ming yigirma birinchi yilda umumiy qiymati ikki yuz qirq bir butun oʻndan yetti million dollar, shundan to‘g‘ridan to‘g‘ri xorijiy investitsiyalar bir yuz yetmish bir butun oʻndan toʻqqiz million dollar, davlat kafolati ostidagi kreditlar - oltmish yetti butun oʻndan yetti million dollar.
utt_0024 | 2022 yilda esa loyihalarning umumiy qiymati 256,4 million dollarga teng mo‘ljallangan bo‘lsa, shulardan 180,1 million dollarni to‘g‘ridan to‘g‘ri xorijiy investitsiyalar, davlat kafolati ostidagi kreditlar esa 73,1 million dollarni jalb qilinishi ko‘zda tutilgan. | ikki ming yigirma ikkinchi yilda esa loyihalarning umumiy qiymati ikki yuz ellik olti butun oʻndan toʻrt million dollarga teng mo‘ljallangan bo‘lsa, shulardan bir yuz sakson butun oʻndan bir million dollarni to‘g‘ridan to‘g‘ri xorijiy investitsiyalar, davlat kafolati ostidagi kreditlar esa yetmish uch butun oʻndan bir million dollarni jalb qilinishi ko‘zda tutilgan.
utt_0025 | Ta'kidlanishicha, prezidentning 2020 yil 28 apreldagi PQ-4699-son «Raqamli iqtisodiyot va elektron hukumatni keng joriy etish chora-tadbirlari to‘g‘risida» qaroriga muvofiq, 2020-2022 yillarda axborot texnologiyalari va kommunikatsiyalarini rivojlantirish bo‘yicha umumiy qiymati 17,6 trillion so‘m bo‘lgan 35 ta ustuvor loyihalar amalga oshirilishi belgilangan. | taʻkidlanishicha, prezidentning ikki ming yigirmainchi yil yigirma sakkiz apreldagi pq-toʻrt ming olti yuz toʻqson toʻqqiz sonli “raqamli iqtisodiyot va elektron hukumatni keng joriy etish chora-tadbirlari to‘g‘risida” qaroriga muvofiq, ikki ming yigirma-ikki ming yigirma ikkinchi yillarda axborot texnologiyalari va kommunikatsiyalarini rivojlantirish bo‘yicha umumiy qiymati oʻn yetti butun oʻndan olti trillion so‘m bo‘lgan oʻttiz beshta ustuvor loyihalar amalga oshirilishi belgilangan.
utt_0026 | Mazkur loyihalarning 44,8 foiz to‘g‘ridan to‘g‘ri xorijiy investitsiyalar va kafolatlanmagan kreditlar hisobidan, 33 foiz davlat kafolati ostidagi kreditlar hisobidan amalga oshirilishi rejalashtirilgan. | mazkur loyihalarning qirq toʻrt butun oʻndan sakkiz foiz to‘g‘ridan to‘g‘ri xorijiy investitsiyalar va kafolatlanmagan kreditlar hisobidan, oʻttiz uch foiz davlat kafolati ostidagi kreditlar hisobidan amalga oshirilishi rejalashtirilgan.
utt_0027 | Farg‘ona viloyatining O‘zbekiston tumanida sodir bo‘lgan yo‘l-transport hodisasi oqibatida bir kishi halok bo‘ldi. | farg‘ona viloyatining o‘zbekiston tumanida sodir bo‘lgan yo‘l-transport hodisasi oqibatida bir kishi halok bo‘ldi.
utt_0028 | Bu haqda “Zo‘r TV” telekanalining “Bu kun” dasturida ma’lum qilindi. | bu haqda “zo‘r tv” telekanalining “bu kun” dasturida maʻlum qilindi.
utt_0029 | Kadr: YouTube Aniqlanishicha, Nexia rusumli avtomobil haydovchisi harakat davomida qarama-qarshi yo‘nalishga chiqib, o‘z yo‘nalishida harakatlanib kelayotgan Isuzu avtobusi bilan to‘qnashuv sodir etgan. | kadr: youtube aniqlanishicha, nexia rusumli avtomobil haydovchisi harakat davomida qarama-qarshi yo‘nalishga chiqib, o‘z yo‘nalishida harakatlanib kelayotgan isuzu avtobusi bilan to‘qnashuv sodir etgan.
utt_0030 | Isuzu haydovchisiga ko‘ra, yengil mashina o‘zidan oldindan avtobus va boshqa bir yengil mashinani quvib o‘tmoqchi bo‘lgan. | isuzu haydovchisiga ko‘ra, yengil mashina o‘zidan oldindan avtobus va boshqa bir yengil mashinani quvib o‘tmoqchi bo‘lgan.
utt_0031 | To‘qnashuvdan keyin Isuzu haydovchisi rulni o‘ngga burib yuborib, daraxtga urilgan. | to‘qnashuvdan keyin isuzu haydovchisi rulni o‘ngga burib yuborib, daraxtga urilgan.
utt_0032 | Nexia haydovchisi og‘ir tan jarohati bilan shifoxonaga yetkazilgan, biroq ko‘rsatilgan yordamga qaramay, u vafot etgan. | nexia haydovchisi og‘ir tan jarohati bilan shifoxonaga yetkazilgan, biroq ko‘rsatilgan yordamga qaramay, u vafot etgan.
utt_0033 | Avvalroq Samarqandda 11 oy avval avtomobil boshqarish huquqidan mahrum bo‘lgan haydovchi qizaloqni urib yuborib, uning o‘limiga sababchi bo‘lgani, Jizzaxda Kia K5 va Nexia to‘qnashuvi oqibatida 8 kishi vafot etgani to‘g‘risida xabar berilgandi. | avvalroq samarqandda oʻn bir oy avval avtomobil boshqarish huquqidan mahrum bo‘lgan haydovchi qizaloqni urib yuborib, uning o‘limiga sababchi bo‘lgani, jizzaxda kia kbesh va nexia to‘qnashuvi oqibatida sakkiz kishi vafot etgani to‘g‘risida xabar berilgandi.
utt_0034 | Qashqadaryoda Lacetti va Nexia ishtirokidagi YTHda 4 kishi halok bo‘ldi | qashqadaryoda lacetti va nexia ishtirokidagi ythda toʻrt kishi halok bo‘ldi.
utt_0035 | O‘zbekistonda qayta ishonchnoma berish huquqi bilan avtomobilni boshqarish uchun ishonch qog‘ozi berish huquqi rasmiylashtirishga ruxsat berilmoqda. | o‘zbekistonda qayta ishonchnoma berish huquqi bilan avtomobilni boshqarish uchun ishonch qog‘ozi berish huquqi rasmiylashtirishga ruxsat berilmoqda.
utt_0036 | Bu taqiq Vazirlar Mahkamasining “Avtomototransport vositalarini sotib olish, ulardan foydalanish va ularni boshqa shaxslarga berishni tartibga solish to‘g‘risida”gi 2001 yil 28 avgustdagi 354-son qaroriga ko‘ra shu paytgacha amal qilib kelayotgan edi. | bu taqiq vazirlar mahkamasining “avtomototransport vositalarini sotib olish, ulardan foydalanish va ularni boshqa shaxslarga berishni tartibga solish to‘g‘risida”gi ikki ming birinchi yil yigirma sakkiz avgustdagi uch yuz ellik toʻrt sonli qaroriga ko‘ra shu paytgacha amal qilib kelayotgan edi.
utt_0037 | O‘zbekiston Respublikasi Vazirlar Mahkamasining “O‘zbekiston Respublikasi hukumatining ayrim qarorlariga o‘zgartirishlar va qo‘shimcha kiritish to‘g‘risida”gi 2018 yil 24 oktabrdagi 863-sonli qaroriga ko‘ra, 28.08.2001 yildagi 354-sonli qarori 4-bandi uchinchi xatboshisi chiqarib tashlandi. | o‘zbekiston respublikasi vazirlar mahkamasining “o‘zbekiston respublikasi hukumatining ayrim qarorlariga o‘zgartirishlar va qo‘shimcha kiritish to‘g‘risida”gi ikki ming oʻn sakkizinchi yil yigirma toʻrt oktabrdagi sakkiz yuz oltmish uch-sonli qaroriga ko‘ra, yigirma sakkiz butun yuzdan sakkiz.ikki ming birinchi yildagi uch yuz ellik toʻrt-sonli qarori toʻrt-bandi uchinchi xatboshisi chiqarib tashlandi.
utt_0038 | Endi fuqarolar o‘zlari ishonch bergan insonlarga boshqa shaxsga xuddi shunday ishonch qog‘ozi rasmiylashtirish huquqiga ega bo‘lishdi. | endi fuqarolar o‘zlari ishonch bergan insonlarga boshqa shaxsga xuddi shunday ishonch qog‘ozi rasmiylashtirish huquqiga ega bo‘lishdi.
utt_0039 | Berilayotgan vakolatlar hajmi kamroq bo‘lishi mumkin, lekin ortiq bo‘lmasligi, qayta ishonchnoma berishi huquqi asosiy (“dastlabki”) ishonchnomada aks etishi kerak. | berilayotgan vakolatlar hajmi kamroq bo‘lishi mumkin, lekin ortiq bo‘lmasligi, qayta ishonchnoma berishi huquqi asosiy (“dastlabki”) ishonchnomada aks etishi kerak.
utt_0040 | “Ikkinchi” ishonchnoma ham notarial tartibda tasdiqlanishi kerak. | “ikkinchi” ishonchnoma ham notarial tartibda tasdiqlanishi kerak.
utt_0041 | O‘z vakolatlarini qayta ishonchnoma bilan topshirgan shaxs asosiy ishonchnomani bergan shaxsga yangi ishonch bildirilgan insonning ism familiyasi va yashash manzili haqida ma'lumot berishi shart. | o‘z vakolatlarini qayta ishonchnoma bilan topshirgan shaxs asosiy ishonchnomani bergan shaxsga yangi ishonch bildirilgan insonning ism familiyasi va yashash manzili haqida maʻlumot berishi shart.
utt_0042 | Xabardor qilish shunday amalga oshirilishi kerakki, xabardor qilinganlik fakti hujjat bilan o‘z tasdig‘ini topishi lozim. | xabardor qilish shunday amalga oshirilishi kerakki, xabardor qilinganlik fakti hujjat bilan o‘z tasdig‘ini topishi lozim.
utt_0043 | Agar bu ish qilinmasa, keyingi ishonchnomani qo‘lga kiritgan shaxsning xatti-harakatlari uchun oldingi ishonchnomani olgan shaxs javobgar bo‘ladi. | agar bu ish qilinmasa, keyingi ishonchnomani qo‘lga kiritgan shaxsning xatti-harakatlari uchun oldingi ishonchnomani olgan shaxs javobgar bo‘ladi.
utt_0044 | Asosiy ishonch qog‘ozi qaytarib olinganda, muddati tugaganda yoki boshqa sabablar bilan tugatilganda keyingi berilgan ishonch qog‘ozi ham o‘z kuchini yo‘qotadi. | asosiy ishonch qog‘ozi qaytarib olinganda, muddati tugaganda yoki boshqa sabablar bilan tugatilganda keyingi berilgan ishonch qog‘ozi ham o‘z kuchini yo‘qotadi.
utt_0045 | Bundan tashqari, endi O‘zbekiston Respublikasi rezidentlari bo‘lmagan shaxslarga avtomototransport vositalarini ishonchnoma orqali berishni ham rasmiylashtirish mumkin. | bundan tashqari, endi o‘zbekiston respublikasi rezidentlari bo‘lmagan shaxslarga avtomototransport vositalarini ishonchnoma orqali berishni ham rasmiylashtirish mumkin.
utt_0046 | Bu ham 17 yil davomida taqiqlangan edi. | bu ham oʻn yetti yil davomida taqiqlangan edi.
utt_0047 | Toshkent shahrining Chilonzor tumanida 12-mart kuni 8:00 dan 16:00 gacha bo‘lgan vaqt oralig‘ida noma’lum shaxslar 28 yoshli Zilolaning xonadoniga hojatxonadan o‘tuvchi shaxta orqali kirib, u yerdan 500 ming so‘m va televizorni o‘g‘irlagan. | toshkent shahrining chilonzor tumanida oʻn ikkinchi mart kuni sakkizu nol noldan oʻn oltiyu nol nolgacha bo‘lgan vaqt oralig‘ida nomaʻlum shaxslar yigirma sakkiz yoshli zilolaning xonadoniga hojatxonadan o‘tuvchi shaxta orqali kirib, u yerdan besh yuz ming so‘m va televizorni o‘g‘irlagan.
utt_0048 | Shundan so‘ng aynan shu yo‘l orqali xonadonni tark etgan, deb yozadi Toshkent shahar IIBB matbuot xizmati. | shundan so‘ng aynan shu yo‘l orqali xonadonni tark etgan, deb yozadi toshkent shahar iibb matbuot xizmati.
utt_0049 | Mazkur fakt bo‘yicha O‘zbekiston Respublikasi Jinoyat kodeksining 169-moddasi 2-bandi (“O‘g‘rilik”) bo‘yicha jinoiy ish qo‘zg‘atilgan. | mazkur fakt bo‘yicha o‘zbekiston respublikasi jinoyat kodeksining bir yuz oltmish toʻqqiz-moddasi ikki-bandi (“o‘g‘rilik”) bo‘yicha jinoiy ish qo‘zg‘atilgan.
utt_0050 | Gumonlanuvchilarni aniqlash va ularni qo‘lga olish bo‘yicha choralar ko‘rilmoqda. | gumonlanuvchilarni aniqlash va ularni qo‘lga olish bo‘yicha choralar ko‘rilmoqda.
utt_0051 | Shu munosabat bilan IIBB yerto‘la binolarining eshiklarini qulflash va uning yopiqligini muntazam tekshirish, shuningdek, xonadonlardagi shaxtalar eshiklariga ishonchli qulf o‘rnatishga chaqiradi. | shu munosabat bilan iibb yerto‘la binolarining eshiklarini qulflash va uning yopiqligini muntazam tekshirish, shuningdek, xonadonlardagi shaxtalar eshiklariga ishonchli qulf o‘rnatishga chaqiradi.
utt_0052 | Bugun, 9 may kuni soat 15:43 da Toshkentda kuchli va davomli zilzila kuzatildi. | bugun, toʻqqizinchi may kuni soat oʻn beshu qirq uchda toshkentda kuchli va davomli zilzila kuzatildi.
utt_0053 | Yer silkinishi O‘zbekistonning boshqa hududlarida ham sezilgan. | yer silkinishi o‘zbekistonning boshqa hududlarida ham sezilgan.
utt_0054 | Zilzila kuchi 3-3,5 ball atrofida bo‘ldi. | zilzila kuchi uch-uch butun oʻndan besh ball atrofida bo‘ldi.
utt_0055 | Zilzila epimarkazi Tojikistonda, poytaxt Dushanbe shahridan 296 kilometr shimoli-sharqda, Ishqoshim yaqinida 100 kilometr chuqurlikda joylashgan. | zilzila epimarkazi tojikistonda, poytaxt dushanbe shahridan ikki yuz toʻqson olti kilometr shimoli-sharqda, ishqoshim yaqinida bir yuz kilometr chuqurlikda joylashgan.
utt_0056 | Markazda zilzila kuchi 6,1 ballni tashkil etgan. | markazda zilzila kuchi olti butun oʻndan bir ballni tashkil etgan.
utt_0057 | Zilzila Tojikiston va O‘zbekistonning sharqiy hududlaridan tashqari, Pokiston, Afg‘oniston va Hindiston shimoliga ham ta'sir qilgan. | zilzila tojikiston va o‘zbekistonning sharqiy hududlaridan tashqari, pokiston, afg‘oniston va hindiston shimoliga ham taʻsir qilgan.
utt_0058 | Joriy yilning 13 may kuni Toshkent va Sirdaryo viloyatlari bo‘yicha hududiy inspeksiyasi inspektorlari tomonidan Toshkent shahrida joylashgan «Eski juva» bozorida olib borilgan tezkor reyd tadbiri davrida toshbaqa, bulbul va tipratikonlarni savdosi bilan shug‘ullanayotgan shaxslar aniqlandi. | joriy yilning oʻn uchinchi may kuni toshkent va sirdaryo viloyatlari bo‘yicha hududiy inspeksiyasi inspektorlari tomonidan toshkent shahrida joylashgan “eski juva” bozorida olib borilgan tezkor reyd tadbiri davrida toshbaqa, bulbul va tipratikonlarni savdosi bilan shug‘ullanayotgan shaxslar aniqlandi.
utt_0059 | Bu haqda O‘zbekiston Respublikasi Ekologiya va atrof-muhitni muhofaza qilish davlat qo‘mitasi Axborot xizmati Kun.uz'ga ma'lum qildi. | bu haqda o‘zbekiston respublikasi ekologiya va atrof-muhitni muhofaza qilish davlat qo‘mitasi axborot xizmati kun.uzʻga maʻlum qildi.
utt_0060 | Xabar qilinishicha, «Eski juva» bozorida olib borilgan reyd tadbirida fuqarolar E.R.Pirmetov, A.B.Qurbonov, A.A.Axmedov yovvoyi holdagi jami 21 ta toshbaqa, 7 ta bulbul va 1ta tipratikon savdosi bilan noqonuniy shug‘ullanayotgani aniqlangan. | xabar qilinishicha, “eski juva” bozorida olib borilgan reyd tadbirida fuqarolar e.r.pirmetov, a.b.qurbonov, a.a.axmedov yovvoyi holdagi jami yigirma birta toshbaqa, yettita bulbul va birta tipratikon savdosi bilan noqonuniy shug‘ullanayotgani aniqlangan.
utt_0061 | Undan tashqari, Toshkent shahrida joylashgan «Yangiobod» ixtisoslashtirilgan bozorida olib borilgan tezkor reyd tadbiri davrida yovvoyi holdagi jami 15 ta toshbaqa, 9 ta tipratikon, 1 ta kolvor ilon, va 4 ta chumchiqsimonlar oilasiga mansub qushlar bilan noqonuniy ravishda savdo qilish holatlari aniqlanib, barcha olib qo‘yilgan yovvoyi hayvonlar o‘rnatilgan tartib asosida tabiatga qo‘yib yuborilgan. | undan tashqari, toshkent shahrida joylashgan “yangiobod” ixtisoslashtirilgan bozorida olib borilgan tezkor reyd tadbiri davrida yovvoyi holdagi jami oʻn beshta toshbaqa, toʻqqizta tipratikon, birta kolvor ilon, va toʻrtta chumchiqsimonlar oilasiga mansub qushlar bilan noqonuniy ravishda savdo qilish holatlari aniqlanib, barcha olib qo‘yilgan yovvoyi hayvonlar o‘rnatilgan tartib asosida tabiatga qo‘yib yuborilgan.
utt_0062 | «Hozirgi kunda hududlardagi mavjud bozorlarda, aholi punktlarida noqonuniy tarzda yovvoyi turdagi qush, hayvonlarni sotilmasligi yuzasidan doimiy tarzda targ‘ibot va tashviqot ishlari olib borilmoqda», deydi qo‘mita mas'ul xodimi. | “hozirgi kunda hududlardagi mavjud bozorlarda, aholi punktlarida noqonuniy tarzda yovvoyi turdagi qush, hayvonlarni sotilmasligi yuzasidan doimiy tarzda targ‘ibot va tashviqot ishlari olib borilmoqda”, deydi qo‘mita masʻul xodimi.
utt_0063 | Xabarda aytilishicha, aniqlangan huquqbuzarlik holatlari yuzasidan rasmiylashtirilgan hujjatlar asosida huquqbuzarlarga nisbatan qonunda belgilangan tartibda choralar ko‘rilmoqda. | xabarda aytilishicha, aniqlangan huquqbuzarlik holatlari yuzasidan rasmiylashtirilgan hujjatlar asosida huquqbuzarlarga nisbatan qonunda belgilangan tartibda choralar ko‘rilmoqda.
utt_0064 | Toshkentga kelgan andijonlik shaxs poytaxt ichki ishlar organlari nazariga tushishga ulgurdi, deb xabar bermoqda “Na postu” gazetasi. | toshkentga kelgan andijonlik shaxs poytaxt ichki ishlar organlari nazariga tushishga ulgurdi, deb xabar bermoqda “na postu” gazetasi.
utt_0065 | U bezorilik maqsadida 1981-yilda tug‘ilgan Toshkent shahrida yashovchi fuqaroga tan jarohatlarini yetkazdi. | u bezorilik maqsadida bir ming toʻqqiz yuz sakson birinchi yilda tug‘ilgan toshkent shahrida yashovchi fuqaroga tan jarohatlarini yetkazdi.
utt_0066 | Jabrlanuvchiga tibbiy xizmat ko‘rsatish uchun shifoxonaga olib borildi. | jabrlanuvchiga tibbiy xizmat ko‘rsatish uchun shifoxonaga olib borildi.
utt_0067 | Bezorilik qilgan shaxs esa vaziyatga oydinlik kiritish maqsadida Yakkasaroy tumani ichki ishlar bo‘limiga olib kelindi. | bezorilik qilgan shaxs esa vaziyatga oydinlik kiritish maqsadida yakkasaroy tumani ichki ishlar bo‘limiga olib kelindi.
utt_0068 | Tashqi mehnat migratsiyasi agentligi O‘zbekiston bosh konsulxonasi ko‘magida Germaniyaning HS-Personal kompaniyasi bilan mamlakat fuqarolariga nemis tilini o‘rgatish, keyinchalik ularni nemis kompaniyalariga ishga joylashtirish bo‘yicha kelishuvga erishdi, deb xabar beradi “Dunyo” agentligi. | tashqi mehnat migratsiyasi agentligi o‘zbekiston bosh konsulxonasi ko‘magida germaniyaning hs-personal kompaniyasi bilan mamlakat fuqarolariga nemis tilini o‘rgatish, keyinchalik ularni nemis kompaniyalariga ishga joylashtirish bo‘yicha kelishuvga erishdi, deb xabar beradi “dunyo” agentligi.
